requestid,boro,yr,m,d,hh,mm,vol,segmentid,wktgeom,street,fromst,tost,direction
28843,Queens,2019,1,16,4,0,29,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,4,15,28,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,4,30,38,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,4,45,44,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,5,0,56,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,5,15,93,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,5,30,122,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,5,45,157,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,6,0,171,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,6,15,162,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,6,30,134,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,6,45,200,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,7,0,162,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,7,15,214,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,7,30,238,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,7,45,251,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,8,0,230,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,8,15,278,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,8,30,196,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,8,45,206,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,9,0,184,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,9,15,141,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,9,30,175,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,9,45,153,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,10,0,156,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,10,15,161,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,10,30,156,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,10,45,154,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,11,0,156,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,11,15,165,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,11,30,177,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,11,45,162,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
